2026-03-26 14:57:26 | WARNING  | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-03-26 16:31:48 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-26 16:31:48 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-small-en-v1.5
2026-03-26 16:31:52 | INFO     | agents.rag_agent | [RAGAgent] Loading FAISS vector store from disk: ./faiss_vector_store_index
2026-03-26 16:31:52 | INFO     | agents.rag_agent | [RAGAgent] Loading BM25 index from disk: ./bm25.pkl
2026-03-26 16:32:27 | INFO     | agents.rag_agent | [RAGAgent] query='whats if the quality check fails'  top_k=3
2026-03-26 16:32:27 | INFO     | agents.rag_agent | [RAGAgent] Initializing…
2026-03-26 16:32:27 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-26 16:32:27 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-small-en-v1.5
2026-03-26 16:32:32 | INFO     | agents.rag_agent | [RAGAgent] Loading FAISS vector store from disk: ./faiss_vector_store_index
2026-03-26 16:32:32 | INFO     | agents.rag_agent | [RAGAgent] Loading BM25 index from disk: ./bm25.pkl
2026-03-26 16:35:25 | INFO     | agents.rag_agent | [RAGAgent] query='whats if the quality check fails'  top_k=3
2026-03-26 16:35:25 | INFO     | agents.rag_agent | [RAGAgent] Initializing…
2026-03-26 16:35:25 | INFO     | agents.rag_agent | [RAGAgent] Loaded 0 chunks from ./company-data
2026-03-26 16:35:25 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-26 16:35:25 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-small-en-v1.5
2026-03-26 16:35:30 | INFO     | agents.rag_agent | [RAGAgent] Loading FAISS vector store from disk: ./faiss_vector_store_index
2026-03-26 16:35:30 | INFO     | agents.rag_agent | [RAGAgent] Building new BM25 index…
2026-03-26 16:37:33 | INFO     | agents.rag_agent | [RAGAgent] query='whats if the quality check fails'  top_k=3
2026-03-26 16:37:33 | INFO     | agents.rag_agent | [RAGAgent] Initializing…
2026-03-26 16:37:33 | INFO     | agents.rag_agent | [RAGAgent] Loaded 0 chunks from ./company-data
2026-03-26 16:37:33 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2026-03-26 16:37:33 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: BAAI/bge-small-en-v1.5
2026-03-26 16:37:38 | INFO     | agents.rag_agent | [RAGAgent] Loading FAISS vector store from disk: ./faiss_vector_store_index
2026-03-26 16:37:38 | INFO     | agents.rag_agent | [RAGAgent] Building new BM25 index…
2026-03-26 16:52:57 | WARNING  | google_genai._api_client | Both GOOGLE_API_KEY and GEMINI_API_KEY are set. Using GOOGLE_API_KEY.
2026-03-26 16:53:53 | INFO     | agents.cart_agent | [CartAgent] Calling tool=add_to_cart  args={'product_id': '0361'}
2026-03-26 16:53:53 | INFO     | agents.cart_agent | [Cart] add_to_cart product_id=0361
2026-03-26 16:53:54 | DEBUG    | agents.cart_agent | [Cart] add_to_cart success: {'message': 'Added to cart', 'cart_id': 3, 'quantity': 1}
2026-03-26 16:53:54 | DEBUG    | agents.cart_agent | [CartAgent] Tool result: {"message": "Added to cart", "cart_id": 3, "quantity": 1}
2026-03-26 16:53:54 | INFO     | agents.cart_agent | [CartAgent] Calling tool=add_to_cart  args={'product_id': '0425'}
2026-03-26 16:53:54 | INFO     | agents.cart_agent | [Cart] add_to_cart product_id=0425
2026-03-26 16:53:54 | DEBUG    | agents.cart_agent | [Cart] add_to_cart success: {'message': 'Added to cart', 'cart_id': 4, 'quantity': 1}
2026-03-26 16:53:54 | DEBUG    | agents.cart_agent | [CartAgent] Tool result: {"message": "Added to cart", "cart_id": 4, "quantity": 1}
2026-03-26 16:53:55 | INFO     | agents.cart_agent | [CartAgent] Final reply (46 chars): "I've added the 3rd and 4th items to your cart."
